"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-12-02T05:23:16.829Z[Etc/UTC]","0.0","0.87"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-02T05:23:17.707Z[Etc/UTC]","0.0","0.56"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-02T05:23:18.265Z[Etc/UTC]","0.0","0.43"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-02T05:23:18.699Z[Etc/UTC]","0.0","0.67"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-12-02T05:23:19.38Z[Etc/UTC]","0.0","0.99"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-12-02T05:23:25.195Z[Etc/UTC]","0.0","0.86"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-02T05:23:27.242Z[Etc/UTC]","0.0","0.74"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-02T05:23:27.989Z[Etc/UTC]","0.0","0.6"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-02T05:23:28.589Z[Etc/UTC]","0.0","0.8"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-02T05:23:47.686Z[Etc/UTC]","0.0","0.87"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-02T05:23:48.556Z[Etc/UTC]","0.0","0.74"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-02T05:23:49.299Z[Etc/UTC]","0.0","0.99"
